item_name,item_id,item_category_id
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40
***КОРОБКА (СТЕКЛО)                       D,4,40
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40
***УДАР ПО ВОРОТАМ (UNI)               D,6,40
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40
***ЧАЙ С МУССОЛИНИ                     D,8,40
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40
*ЛИНИЯ СМЕРТИ                           D,11,40
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55
*СПАСАЯ ЭМИЛИ                           D,13,40
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40
//МОНГОЛ С.Бодров (Регион),16,40
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40
/ОДНАЖДЫ В КИТАЕ-2,20,40
/ПОСЛЕДНИЙ ШАНС,21,40
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40
/СЕВЕР И ЮГ /Ч.2/,23,40
/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40
/ТЫ  - ТРУП,25,40
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40
"007 Legends [PS3, русская версия]",27,19
"007 Legends [PС, Jewel, русская версия]",28,30
"007 Legends [Xbox 360, русская версия]",29,23
007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40
007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37
1+1,32,40
1+1 (BD),33,37
10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40
10 ЛЕТ СПУСТЯ,35,40
10 ЛЕТ СПУСТЯ (BD),36,37
10 ЛЕТ СПУСТЯ (регион),37,40
10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41
10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41
100 Best classical melodies (mp3-CD) (Digipack),40,57
100 Best relax melodies (mp3-CD) (CD-Digipack),41,57
100 Best romantic melodies (mp3-CD) (Digipack),42,57
100 МИЛЛИОНОВ ЕВРО,43,40
100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),44,57
100 лучших народных песен (mp3-CD) (CD-Digipack),45,57
100 лучших произведений Баха (mp3-CD) (Digipack),46,57
100 лучших произведений Бетховена (mp3-CD) (Digipack),47,57
100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),48,57
100 лучших произведений Моцарта (mp3-CD) (Digipack),49,57
100 лучших произведений Рахманинова (mp3-CD) (Jewel),50,57
100 лучших произведений классики (mp3-CD) (Digipack),51,57
100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),52,57
100 лучших русских романсов (mp3-CD) (CD-Digipack),53,57
100 лучших цыганских романсов (mp3-CD) (CD-Digipack),54,57
100 любимых маленьких сказок (mp3-CD) (Jewel),55,43
100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),56,57
100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),57,57
"100 чудес России [PC, Цифровая версия]",58,78
100 шедевров классики (mp3-CD) (Digipack),59,57
1000 английских фраз на все случаи жизни (mp3-CD) (Jewel),60,43
1000 и одна ночь  2CD (mp3-DVD) (DVD-Book),61,43
